id,course_name,category,description,price,level,status
101,CA Foundation Complete Course,CA,"Complete CA Foundation preparation covering Accounts, Law, Economics and Quantitative Aptitude.",9999,Beginner,Active
102,CA Intermediate Group 1,CA,"Preparation for Advanced Accounting, Corporate Law, Taxation and Cost Management.",14999,Intermediate,Active
103,CA Intermediate Group 2,CA,"Preparation for Auditing, Strategic Management, Financial Management and Strategic Cost Management.",13999,Intermediate,Active
104,CS Executive Complete Course,CS,Complete preparation course for CS Executive-level subjects.,12999,Intermediate,Active
105,CMA Foundation Course,CMA,"Foundation course covering Accounting, Economics, Business Laws and Mathematics.",8999,Beginner,Active
106,CMA Intermediate Complete Course,CMA,"CMA Intermediate preparation covering accounting, taxation, costing, laws and financial management.",14999,Intermediate,Active
107,GST Certification Course,Certification,"Practical GST course covering registration, returns, input tax credit and compliance.",4999,Beginner,Active
108,Financial Modelling Course,Finance,"Financial modelling covering Excel, financial statements, valuation and forecasting.",5999,Intermediate,Active
109,Investment Banking Fundamentals,Finance,"Introduction to investment banking, valuation, financial modelling, M&A and deal processes.",6999,Beginner,Active
110,Excel for Finance,Finance,"Excel course focused on financial analysis, formulas, dashboards and reporting.",2999,Beginner,Active
111,Python for Beginners,Technology,"Introduction to Python covering fundamentals, functions, data structures and basic projects.",3999,Beginner,Active
112,AI & Generative AI Fundamentals,Technology,"Introduction to AI, LLMs, prompt engineering and generative AI applications.",4999,Beginner,Active
113,Advanced Excel & Power BI,Technology,Advanced Excel and Power BI covering data analysis and business dashboards.,5499,Intermediate,Active
114,Business Analytics Course,Technology,"Business analytics covering data analysis, visualization, Excel and SQL.",6499,Intermediate,Active
115,Corporate Finance Essentials,Finance,"Course covering financial statements, capital budgeting and corporate financial decisions.",4499,Intermediate,Inactive
116,AWS DevOps Engineer Professional: Frameworks & Best Practices,Cloud Computing,"Comprehensive training program focusing on aws devops engineer professional with practical focus on frameworks & best practices, case studies, and hands-on exercises.",8999,Advanced,Active
117,Drafting Commercial Contracts & Service Agreements: Zero to Hero,Law,"Comprehensive training program focusing on drafting commercial contracts & service agreements with practical focus on zero to hero, case studies, and hands-on exercises.",4499,Beginner,Active
118,Direct Tax Withholding (TDS/TCS) Compliance - Comprehensive Guide,Taxation,"Comprehensive training program focusing on direct tax withholding (tds/tcs) compliance with practical focus on comprehensive guide, case studies, and hands-on exercises.",5499,Intermediate,Active
119,Certified Information Security Manager (CISM) - Frameworks & Best Practices,Certification,"Comprehensive training program focusing on certified information security manager (cism) with practical focus on frameworks & best practices, case studies, and hands-on exercises.",7999,Intermediate,Active
120,ESG Investing & Sustainable Finance Frameworks - Specialization,Finance,"Comprehensive training program focusing on esg investing & sustainable finance frameworks with practical focus on specialization, case studies, and hands-on exercises.",6999,Intermediate,Active
121,CMA Final Corporate Laws & Compliance: Zero to Hero,CMA,"Comprehensive training program focusing on cma final corporate laws & compliance with practical focus on zero to hero, case studies, and hands-on exercises.",6999,Beginner,Active
122,Fundamentals: Global Supply Chain & Procurement Strategy,Management,"Comprehensive training program focusing on global supply chain & procurement strategy with practical focus on fundamentals, case studies, and hands-on exercises.",4499,Beginner,Active
123,Time Series Forecasting & Anomaly Detection: Fundamentals,Data Science,"Comprehensive training program focusing on time series forecasting & anomaly detection with practical focus on fundamentals, case studies, and hands-on exercises.",5499,Beginner,Active
124,Frameworks & Best Practices: Treasury & Balance Sheet Management,Banking,"Comprehensive training program focusing on treasury & balance sheet management with practical focus on frameworks & best practices, case studies, and hands-on exercises.",5999,Intermediate,Active
125,Comprehensive Guide: Deep Learning & Neural Architectures with PyTorch,Data Science,"Comprehensive training program focusing on deep learning & neural architectures with pytorch with practical focus on comprehensive guide, case studies, and hands-on exercises.",10499,Advanced,Active
126,Advanced SQL for Data Analytics & Warehousing - Mastery,Business Analytics,"Comprehensive training program focusing on advanced sql for data analytics & warehousing with practical focus on mastery, case studies, and hands-on exercises.",7999,Advanced,Active
127,Certification Prep: CMA Final Indirect Tax Laws & Practice,CMA,"Comprehensive training program focusing on cma final indirect tax laws & practice with practical focus on certification prep, case studies, and hands-on exercises.",13499,Advanced,Active
128,Advanced Practice: CMA Intermediate Cost Accounting,CMA,"Comprehensive training program focusing on cma intermediate cost accounting with practical focus on advanced practice, case studies, and hands-on exercises.",13499,Advanced,Active
129,Valuation under Companies Act - Crash Course,CA,"Comprehensive training program focusing on valuation under companies act with practical focus on crash course, case studies, and hands-on exercises.",10999,Intermediate,Active
130,In-Depth Series: Hybrid Cloud Networking & ExpressRoute/DirectConnect,Cloud Computing,"Comprehensive training program focusing on hybrid cloud networking & expressroute/directconnect with practical focus on in-depth series, case studies, and hands-on exercises.",6499,Intermediate,Inactive
131,CS Executive Securities Laws & Capital Markets: Certification Prep,CS,"Comprehensive training program focusing on cs executive securities laws & capital markets with practical focus on certification prep, case studies, and hands-on exercises.",9999,Intermediate,Active
132,MLOps: Production ML Pipelines with MLflow - Fundamentals,Data Science,"Comprehensive training program focusing on mlops: production ml pipelines with mlflow with practical focus on fundamentals, case studies, and hands-on exercises.",5499,Beginner,Active
133,Big Data Processing with Databricks & PySpark: In-Depth Series,Data Science,"Comprehensive training program focusing on big data processing with databricks & pyspark with practical focus on in-depth series, case studies, and hands-on exercises.",7499,Intermediate,Active
134,Big Data Processing with Databricks & PySpark: Practical Applications,Data Science,"Comprehensive training program focusing on big data processing with databricks & pyspark with practical focus on practical applications, case studies, and hands-on exercises.",7499,Intermediate,Active
135,Tax Audits under Section 44AB - Certification Prep,Taxation,"Comprehensive training program focusing on tax audits under section 44ab with practical focus on certification prep, case studies, and hands-on exercises.",5499,Intermediate,Active
136,Frameworks & Best Practices: AWS Certified Solutions Architect Associate,Cloud Computing,"Comprehensive training program focusing on aws certified solutions architect associate with practical focus on frameworks & best practices, case studies, and hands-on exercises.",4999,Beginner,Active
137,"Legal Drafting, Notice Writing & Petitions: Certification Prep",Law,"Comprehensive training program focusing on legal drafting, notice writing & petitions with practical focus on certification prep, case studies, and hands-on exercises.",5999,Intermediate,Active
138,Labor & Employment Laws Compliance: Advanced Practice,Law,"Comprehensive training program focusing on labor & employment laws compliance with practical focus on advanced practice, case studies, and hands-on exercises.",7999,Advanced,Inactive
139,Supply Chain Analytics & Optimization - Bootcamp,Business Analytics,"Comprehensive training program focusing on supply chain analytics & optimization with practical focus on bootcamp, case studies, and hands-on exercises.",5999,Intermediate,Active
140,"Legal Drafting, Notice Writing & Petitions - Bootcamp",Law,"Comprehensive training program focusing on legal drafting, notice writing & petitions with practical focus on bootcamp, case studies, and hands-on exercises.",5999,Intermediate,Inactive
141,Advanced Practice: Portfolio Theory & Risk-Adjusted Returns,Finance,"Comprehensive training program focusing on portfolio theory & risk-adjusted returns with practical focus on advanced practice, case studies, and hands-on exercises.",9499,Advanced,Active
142,Practical Applications: Financial Services and Capital Markets,CA,"Comprehensive training program focusing on financial services and capital markets with practical focus on practical applications, case studies, and hands-on exercises.",10999,Intermediate,Active
143,Real-World Projects: Personal Financial Planning & Wealth Mgmt,Finance,"Comprehensive training program focusing on personal financial planning & wealth mgmt with practical focus on real-world projects, case studies, and hands-on exercises.",6999,Intermediate,Active
144,Crash Course: International Taxation & Base Erosion (BEPS),Taxation,"Comprehensive training program focusing on international taxation & base erosion (beps) with practical focus on crash course, case studies, and hands-on exercises.",5499,Intermediate,Active
145,CMA Final Corporate Financial Reporting (CFR) - Certification Prep,CMA,"Comprehensive training program focusing on cma final corporate financial reporting (cfr) with practical focus on certification prep, case studies, and hands-on exercises.",13499,Advanced,Active
146,CA Foundation Accounting Basics: Frameworks & Best Practices,CA,"Comprehensive training program focusing on ca foundation accounting basics with practical focus on frameworks & best practices, case studies, and hands-on exercises.",7999,Beginner,Active
147,IFRS and Ind AS Convergence - Fundamentals,CA,"Comprehensive training program focusing on ifrs and ind as convergence with practical focus on fundamentals, case studies, and hands-on exercises.",7999,Beginner,Active
148,CMA Intermediate Financial Accounting: Specialization,CMA,"Comprehensive training program focusing on cma intermediate financial accounting with practical focus on specialization, case studies, and hands-on exercises.",9999,Intermediate,Active
149,Forex Trading & Foreign Exchange Markets: Certification Prep,Finance,"Comprehensive training program focusing on forex trading & foreign exchange markets with practical focus on certification prep, case studies, and hands-on exercises.",6999,Intermediate,Active
